step,volume_mL,F1_Hz,F1_BW,F2_Hz,F2_BW,F3_Hz,F3_BW,F4_Hz,F4_BW,F5_Hz,F5_BW,F6_Hz,F6_BW
0,0,570,126,1808,158,2481,223,3776,302,5107,360,,
1,50,585,29,1095,211,1758,188,2703,120,,,,
2,100,655,29,1217,126,1849,337,2682,70,,,,
3,150,721,56,1611,120,3611,196,,,,,,
4,200,916,117,2892,308,3701,208,,,,,,
5,250,766,217,1269,41,2067,255,2899,270,3709,243,5114,302
6,300,723,199,1236,202,1676,252,,,,,,
