step,volume_mL,F1_Hz,F1_BW,F2_Hz,F2_BW,F3_Hz,F3_BW,F4_Hz,F4_BW,F5_Hz,F5_BW,F6_Hz,F6_BW
0,0,592,21,1746,170,3022,287,3718,193,5200,214,,
1,50,643,32,1807,214,3094,311,3798,158,4743,293,,
2,100,668,23,1847,179,2409,176,3761,231,4760,164,5379,158
3,150,721,123,1712,319,2534,141,3749,185,,,,
4,200,698,152,1843,223,2705,243,3748,108,4524,270,5224,223
5,250,672,103,995,94,2854,264,3730,220,4651,188,5320,132
6,300,673,129,1106,144,3004,196,3780,164,4809,108,,
7,350,698,164,1252,149,2335,223,2991,378,,,,
8,400,1451,82,2406,193,3714,182,5247,372,,,,
