step,volume_mL,F1_Hz,F1_BW,F2_Hz,F2_BW,F3_Hz,F3_BW,F4_Hz,F4_BW,F5_Hz,F5_BW
0,0,641,243,1390,73,2335,261,3200,381,5139,114
1,10,580,62,1659,85,2743,41,3833,88,,
2,20,652,23,1281,196,1925,82,3822,217,4501,267
3,30,772,32,2342,176,3903,85,5466,296,,
4,40,1034,97,1829,226,2916,237,3780,234,5113,155
5,50,1399,135,2786,278,3792,231,5163,340,,
6,60,613,129,1246,220,1833,267,2531,67,,
