epoch,train_loss,train_l_r,train_l_h,val_loss,val_l_r,val_l_h,val_H_MAE_mm,val_r_MAE_mm,lr,elapsed_s
1,0.075005,0.028458,0.015516,0.046042,0.008684,0.012452,21.05,3.038,2.00e-04,236
2,0.014831,0.008685,0.002049,0.070703,0.010135,0.020189,25.91,3.711,2.00e-04,475
3,0.009973,0.006339,0.001211,0.081421,0.010872,0.023516,27.39,3.853,1.99e-04,730
4,0.007835,0.005128,0.000902,0.078030,0.012420,0.021870,25.68,4.269,1.99e-04,1005
5,0.006504,0.004350,0.000718,0.082453,0.010423,0.024010,27.66,3.854,1.98e-04,1275
6,0.005657,0.003806,0.000617,0.080432,0.013294,0.022379,26.30,4.496,1.97e-04,1538
7,0.005058,0.003399,0.000553,0.076880,0.012384,0.021499,26.20,4.241,1.96e-04,1842
8,0.004596,0.003091,0.000502,0.077855,0.011762,0.022031,26.09,4.199,1.95e-04,2114
