step,volume_mL,F1_Hz,F1_BW,F2_Hz,F2_BW,F3_Hz,F3_BW,F4_Hz,F4_BW,F5_Hz,F5_BW,F6_Hz,F6_BW,F7_Hz,F7_BW
0,0,540,158,1314,220,3107,214,3692,202,4894,97,,,,
1,50,506,91,1499,138,2140,396,2677,352,3289,132,4315,53,5011,158
2,100,519,73,1526,53,2661,299,3418,240,4475,64,,,,
3,150,539,85,1563,56,2261,270,2724,146,3493,270,4554,44,,
4,200,534,50,1621,47,2814,97,3705,375,4580,105,,,,
5,250,570,47,1665,38,2881,105,3673,202,4827,287,,,,
6,300,587,26,1694,41,2937,152,3708,146,4982,94,,,,
7,350,605,21,1723,64,2584,261,3733,100,4347,67,5070,88,,
8,400,624,23,1779,120,3044,205,4429,176,,,,,,
9,450,645,26,1267,190,1826,132,2345,346,3079,340,3613,296,4679,211
10,500,673,26,1879,217,3664,352,4752,94,,,,,,
11,550,685,35,1902,340,3714,381,4870,70,,,,,,
12,600,699,73,1976,337,3707,264,4978,85,,,,,,
13,650,722,132,2709,179,3713,135,4381,88,5103,188,,,,
14,700,897,47,2063,340,2852,152,3725,126,4405,67,,,,
15,750,1025,393,2927,138,3679,190,4519,231,,,,,,
16,800,1028,114,2967,155,3553,302,4807,299,,,,,,
17,850,1123,167,3017,258,4927,149,,,,,,,,
18,900,1250,202,2310,311,5074,161,,,,,,,,
19,950,1431,138,2402,293,3205,340,3742,135,4420,252,5164,278,,
