step,volume_mL,F1_Hz,F1_BW,F2_Hz,F2_BW,F3_Hz,F3_BW,F4_Hz,F4_BW
0,0,1017,123,1847,167,,,,
1,40,1066,144,2803,120,3672,114,,
2,80,1258,53,2963,158,3687,281,4563,132
3,120,691,161,1508,76,3508,188,5059,193
4,160,1612,94,3835,214,5147,275,,
