step,volume_mL,F1_Hz,F1_BW,F2_Hz,F2_BW,F3_Hz,F3_BW,F4_Hz,F4_BW,F5_Hz,F5_BW,F6_Hz,F6_BW
0,0,567,38,1726,252,2204,202,2899,196,3611,208,5217,152
1,50,626,21,2779,155,3776,249,4511,308,5181,284,,
2,100,676,23,2159,284,2811,182,5207,217,,,,
3,150,746,100,2165,267,2849,202,3687,170,5125,325,,
4,200,1018,76,2202,278,2865,182,5172,217,,,,
5,250,693,161,1309,158,2198,146,2908,182,3750,240,5199,135
