step,volume_mL,F1_Hz,F1_BW,F2_Hz,F2_BW,F3_Hz,F3_BW,F4_Hz,F4_BW,F5_Hz,F5_BW
0,0,876,173,1972,158,2917,144,3767,205,,
1,50,1087,85,2851,252,3736,226,4625,217,5362,311
2,100,1343,117,2336,223,2976,275,,,,
3,150,1554,76,3740,132,4545,275,,,,
