step,volume_mL,F1_Hz,F1_BW,F2_Hz,F2_BW,F3_Hz,F3_BW,F4_Hz,F4_BW,F5_Hz,F5_BW,F6_Hz,F6_BW,F7_Hz,F7_BW
0,0,984,73,1764,190,,,,,,,,,,
1,10,556,88,1060,53,1781,144,3701,319,4539,378,,,,
2,20,1116,44,1770,161,2975,164,3852,229,4470,267,5125,319,,
3,30,614,126,1177,70,3080,161,4562,214,5348,229,,,,
4,40,628,223,1298,53,2091,267,3045,261,3724,337,4630,158,5421,267
5,50,602,155,1429,59,2930,316,3785,237,4743,396,,,,
6,60,592,132,1554,50,3758,237,,,,,,,,
7,70,1643,135,4556,384,5169,366,,,,,,,,
8,80,593,152,1720,100,4497,272,5299,229,,,,,,
