"# 2026-07-23 벌어진 컵 유리(8.2, 1.7, 2.7)"
"# 참값: H=82mm, 입구반지름=27mm, 부피=127mL (원뿔대 기준)"
"# 측정: 스텝 9개, 누적 주입 80mL, 원본 v2_infer_20260723_174942.json"
모델,예측높이_mm,예측입구반지름_mm,예측부피_mL,높이오차_%,입구반지름오차_%,부피오차_%,보정적용
★전문가결합(H=nodetach_bestH + r=uni),168.3,14.4,85.0,105.2,46.6,32.6,O
base_ratio.pt,198.0,10.5,87.0,141.5,61.0,31.5,X
base_ratio_smoke.pt,133.9,18.4,359.0,63.3,31.8,182.7,O
base_ratio_smoke_bestH.pt,66.4,35.2,281.0,19.0,30.5,121.8,X
base_ratio_v2.pt,199.3,12.4,74.0,143.1,54.1,41.4,O
rnn_continuity.pt,180.6,9.0,148.0,120.2,66.8,16.8,O
rnn_continuity_bestH.pt,105.2,9.7,88.0,28.3,64.2,30.7,X
rnn_d128_reg.pt,94.1,7.4,44.0,14.8,72.6,65.5,O
rnn_d128_reg_bestH.pt,93.1,7.4,44.0,13.6,72.6,65.5,X
rnn_nodetach_d128.pt,137.5,10.2,66.0,67.6,62.3,48.2,X
rnn_nodetach_d128_bestH.pt,137.5,10.2,66.0,67.6,62.3,48.2,X
rnn_ratio.pt,132.4,9.4,48.0,61.4,65.1,61.8,O
rnn_ratio_bestH.pt,131.4,9.4,48.0,60.2,65.1,61.8,X
rnn_ratio_nodetach.pt,162.5,9.7,71.0,98.2,63.9,43.8,X
rnn_ratio_nodetach_bestH.pt,168.3,9.7,71.0,105.2,63.9,43.8,O
rnn_ratio_v2a.pt,95.7,8.2,49.0,16.7,69.7,61.5,X
rnn_ratio_v2a_bestH.pt,95.7,8.2,49.0,16.7,69.7,61.5,X
rnn_reg.pt,160.4,10.8,84.0,95.6,60.1,33.7,O
rnn_reg_bestH.pt,190.2,9.9,60.0,132.0,63.4,52.4,X
rnn_rev.pt,156.9,18.8,92.0,91.3,30.4,27.3,O
rnn_rev_bestH.pt,152.4,18.8,92.0,85.8,30.4,27.3,X
rnn_uni.pt,131.7,13.9,65.0,60.6,48.4,48.4,O
rnn_uni_bestH.pt,185.1,8.6,85.0,125.7,68.0,33.1,X
rnn_uni_cont.pt,149.7,13.2,104.0,82.5,51.3,18.2,O
rnn_uni_cont_bestH.pt,146.3,12.9,105.0,78.4,52.4,17.0,X
set_reg.pt,187.9,10.8,51.0,129.2,60.2,59.4,O
set_reg_bestH.pt,165.8,8.0,45.0,102.2,70.2,64.8,X
