step,volume_mL,F1_Hz,F1_BW,F2_Hz,F2_BW,F3_Hz,F3_BW,F4_Hz,F4_BW,F5_Hz,F5_BW
0,0,781,316,1795,240,3012,226,4606,211,5278,240
1,50,1003,91,2705,79,3678,185,,,,
2,100,747,231,1226,117,2960,246,4746,155,5463,202
3,150,1438,70,2294,313,3065,255,3738,149,,
4,200,1535,82,3703,152,4488,328,5335,381,,
